ticket_id,col_index,facility_ja,availability,availability_meaning
jrhokkaido87,7,快速・普通 / 指定,△,条件付き利用可
jrhokkaido87,8,快速・普通 / 自由,○,乗車可
jrhokkaido95,0,北海道新幹線,×,乗車不可
jrhokkaido95,1,特急・急行 / グリーン車,▲,乗車券のみ有効
jrhokkaido95,2,特急・急行 / 指定,△,条件付き利用可
jrhokkaido95,3,特急・急行 / 自由,▲,乗車券のみ有効
jrhokkaido95,4,特急・急行 / 立席,○,乗車可
jrhokkaido95,5,快速・普通 / ライナー,▲,乗車券のみ有効
jrhokkaido95,6,快速・普通 / ＳＬ,▲,乗車券のみ有効
jrhokkaido95,7,快速・普通 / 指定,△,条件付き利用可
jrhokkaido95,8,快速・普通 / 自由,○,乗車可
jrhokkaido86,0,北海道新幹線,×,乗車不可
jrhokkaido86,1,特急・急行 / グリーン車,▲,乗車券のみ有効
jrhokkaido86,2,特急・急行 / 指定,△,条件付き利用可
jrhokkaido86,3,特急・急行 / 自由,▲,乗車券のみ有効
jrhokkaido86,4,特急・急行 / 立席,○,乗車可
jrhokkaido86,5,快速・普通 / ライナー,▲,乗車券のみ有効
jrhokkaido86,6,快速・普通 / ＳＬ,▲,乗車券のみ有効
jrhokkaido86,7,快速・普通 / 指定,△,条件付き利用可
jrhokkaido86,8,快速・普通 / 自由,○,乗車可
jrhokkaido88,0,北海道新幹線,×,乗車不可
jrhokkaido88,1,特急・急行 / グリーン車,▲,乗車券のみ有効
jrhokkaido88,2,特急・急行 / 指定,△,条件付き利用可
jrhokkaido88,3,特急・急行 / 自由,▲,乗車券のみ有効
jrhokkaido88,4,特急・急行 / 立席,○,乗車可
jrhokkaido88,5,快速・普通 / ライナー,▲,乗車券のみ有効
jrhokkaido88,6,快速・普通 / ＳＬ,▲,乗車券のみ有効
jrhokkaido88,7,快速・普通 / 指定,△,条件付き利用可
jrhokkaido88,8,快速・普通 / 自由,○,乗車可
jrhokkaido107,0,北海道新幹線,×,乗車不可
jrhokkaido107,1,在来線特急・急行列車 / グリーン車,×,乗車不可
jrhokkaido107,2,在来線特急・急行列車 / 普通車個室,×,乗車不可
jrhokkaido107,3,在来線特急・急行列車 / 普通車指定,×,乗車不可
jrhokkaido107,4,在来線特急・急行列車 / 普通車自由,×,乗車不可
jrhokkaido107,5,快速・普通 / ライナー,×,乗車不可
jrhokkaido107,6,快速・普通 / 指定,▲,乗車券のみ有効
jrhokkaido107,7,快速・普通 / 自由,○,乗車可
jrhokkaido107,8,ジェイ・アール北海道バス,×,乗車不可
jrhokkaido113,0,北海道新幹線,×,乗車不可
jrhokkaido113,1,在来線特急・急行列車 / グリーン車,×,乗車不可
jrhokkaido113,2,在来線特急・急行列車 / 普通車個室,×,乗車不可
jrhokkaido113,3,在来線特急・急行列車 / 普通車指定,×,乗車不可
jrhokkaido113,4,在来線特急・急行列車 / 普通車自由,×,乗車不可
jrhokkaido113,5,在来線特急・急行列車 / 寝台,×,乗車不可
jrhokkaido113,6,快速・普通 / ライナー,×,乗車不可
jrhokkaido113,7,快速・普通 / ＳＬ,▲,乗車券のみ有効
jrhokkaido113,8,快速・普通 / 指定,▲,乗車券のみ有効
jrhokkaido113,9,快速・普通 / 自由,○,乗車可
jrhokkaido114,0,北海道新幹線,×,乗車不可
jrhokkaido114,1,在来線特急・急行列車 / グリーン車,×,乗車不可
jrhokkaido114,2,在来線特急・急行列車 / 普通車個室,×,乗車不可
jrhokkaido114,3,在来線特急・急行列車 / 普通車指定,×,乗車不可
jrhokkaido114,4,在来線特急・急行列車 / 普通車自由,×,乗車不可
jrhokkaido114,5,在来線特急・急行列車 / 寝台,×,乗車不可
jrhokkaido114,6,快速・普通 / ライナー,×,乗車不可
jrhokkaido114,7,快速・普通 / ＳＬ,▲,乗車券のみ有効
jrhokkaido114,8,快速・普通 / 指定,▲,乗車券のみ有効
jrhokkaido114,9,快速・普通 / 自由,○,乗車可
jrhokkaido80,0,北海道新幹線,×,乗車不可
jrhokkaido80,1,在来線特急・急行列車 / グリーン車,×,乗車不可
jrhokkaido80,2,在来線特急・急行列車 / 普通車個室,×,乗車不可
jrhokkaido80,3,在来線特急・急行列車 / 普通車指定,×,乗車不可
jrhokkaido80,4,在来線特急・急行列車 / 普通車自由,×,乗車不可
jrhokkaido80,5,快速・普通 / ライナー,×,乗車不可
jrhokkaido80,6,快速・普通 / 指定,▲,乗車券のみ有効
jrhokkaido80,7,快速・普通 / 自由,○,乗車可
jrhokkaido80,8,ジェイ・アール北海道バス,×,乗車不可
jrhokkaido115,0,北海道新幹線,×,乗車不可
jrhokkaido115,1,在来線特急・急行列車 / グリーン車,▲,乗車券のみ有効
jrhokkaido115,2,在来線特急・急行列車 / 普通車個室,▲,乗車券のみ有効
jrhokkaido115,3,在来線特急・急行列車 / 普通車指定,▲,乗車券のみ有効
jrhokkaido115,4,在来線特急・急行列車 / 普通車自由,▲,乗車券のみ有効
jrhokkaido115,5,在来線特急・急行列車 / 寝台,×,乗車不可
jrhokkaido115,6,快速・普通 / ライナー,×,乗車不可
jrhokkaido115,7,快速・普通 / ＳＬ,▲,乗車券のみ有効
jrhokkaido115,8,快速・普通 / 指定,▲,乗車券のみ有効
jrhokkaido115,9,快速・普通 / 自由,○,乗車可
jrhokkaido116,0,北海道新幹線,×,乗車不可
jrhokkaido116,1,在来線特急・急行列車 / グリーン車,▲,乗車券のみ有効
jrhokkaido116,2,在来線特急・急行列車 / 普通車個室,▲,乗車券のみ有効
jrhokkaido116,3,在来線特急・急行列車 / 普通車指定,▲,乗車券のみ有効
jrhokkaido116,4,在来線特急・急行列車 / 普通車自由,▲,乗車券のみ有効
jrhokkaido116,5,在来線特急・急行列車 / 寝台,×,乗車不可
jrhokkaido116,6,快速・普通 / ライナー,×,乗車不可
jrhokkaido116,7,快速・普通 / ＳＬ,▲,乗車券のみ有効
jrhokkaido116,8,快速・普通 / 指定,▲,乗車券のみ有効
jrhokkaido116,9,快速・普通 / 自由,○,乗車可
jreast51,0,新幹線,－,対象外
jreast51,1,特急・急行,▲,乗車券のみ有効
jreast51,2,快速・普通 / グリーン,▲,乗車券のみ有効
jreast51,3,快速・普通 / ライナー,▲,乗車券のみ有効
jreast51,4,快速・普通 / 指定,▲,乗車券のみ有効
jreast51,5,快速・普通 / 自由,○,乗車可
sendaimarugoto,0,新幹線,－,対象外
sendaimarugoto,1,特急・急行,▲,乗車券のみ有効
sendaimarugoto,2,快速・普通 / グリーン指定,▲,乗車券のみ有効
sendaimarugoto,3,快速・普通 / グリーン自由,▲,乗車券のみ有効
sendaimarugoto,4,快速・普通 / ライナー,▲,乗車券のみ有効
sendaimarugoto,5,快速・普通 / 指定,▲,乗車券のみ有効
sendaimarugoto,6,快速・普通 / 自由,○,乗車可
aizugurutto,0,新幹線,－,対象外
aizugurutto,1,特急・急行,▲,乗車券のみ有効
aizugurutto,2,快速・普通 / グリーン指定,▲,乗車券のみ有効
aizugurutto,3,快速・普通 / グリーン自由,▲,乗車券のみ有効
aizugurutto,4,快速・普通 / ライナー,▲,乗車券のみ有効
aizugurutto,5,快速・普通 / 指定,▲,乗車券のみ有効
aizugurutto,6,快速・普通 / 自由,○,乗車可
jreast64-1,0,新幹線,－,対象外
jreast64-1,1,特急・急行,×,乗車不可
jreast64-1,2,快速・普通 / グリーン,×,乗車不可
jreast64-1,3,快速・普通 / ライナー,▲,乗車券のみ有効
jreast64-1,4,快速・普通 / 指定,▲,乗車券のみ有効
jreast64-1,5,快速・普通 / 自由,○,乗車可
jreast64-1,6,津軽鉄道 / ストーブ列車,×,乗車不可
jreast64-1,7,津軽鉄道 / 自由,○,乗車可
jreast34,0,新幹線,×,乗車不可
jreast34,2,快速・普通 / グリーン指定,▲,乗車券のみ有効
jreast34,3,快速・普通 / グリーン自由,▲,乗車券のみ有効
jreast34,4,快速・普通 / ライナー,▲,乗車券のみ有効
jreast34,5,快速・普通 / 指定,▲,乗車券のみ有効
jreast34,6,快速・普通 / 自由,○,乗車可
jreast34,7,BRT,○,乗車可
jreast36,0,新幹線,×,乗車不可
jreast36,1,特急・急行,▲,乗車券のみ有効
jreast36,2,快速・普通 / グリーン指定,▲,乗車券のみ有効
jreast36,3,快速・普通 / グリーン自由,▲,乗車券のみ有効
jreast36,4,快速・普通 / ライナー,▲,乗車券のみ有効
jreast36,5,快速・普通 / 指定,▲,乗車券のみ有効
jreast36,6,快速・普通 / 自由,○,乗車可
jreast36,7,ＢＲＴ,○,乗車可
jreast48,1,特急・急行,▲,乗車券のみ有効
jreast48,2,快速・普通 / グリーン,▲,乗車券のみ有効
jreast48,3,快速・普通 / ライナー,▲,乗車券のみ有効
jreast48,4,快速・普通 / 指定,▲,乗車券のみ有効
jreast48,5,快速・普通 / 自由,○,乗車可
sendaimarugotowide,0,新幹線,－,対象外
sendaimarugotowide,1,特急・急行,▲,乗車券のみ有効
sendaimarugotowide,2,快速・普通 / グリーン指定,▲,乗車券のみ有効
