ticket_id,passenger_type,channel,variant,price_jpy,price_raw
tokyu91,大人,,,780,大人：780円
tokyu91,小人,,,390,小人：390円
tokyu91,大人,,,740,大人：740円
tokyu95,大人,,,1110,"大人：1,110円"
tokyu95,小人,,,560,小人：560円
tokyu95,大人,,,1060,"大人：1,060円"
tokyu05,大人,,,1220,"大人：1,220円"
tokyu05,小人,,,610,小人：610円
tokyu05,大人,,,1190,"大人：1,190円"
tokyu05,大人,,,780,大人：780円
tokyu07,大人,,,440,大人：440円
tokyu07,大人,,,220,大人：220円
sotetsutokyu01,大人,,,1300,"大人：1,300円"
sotetsutokyu01,小人,,,520,小人：520円
tokyu92,大人,,,100,大人：-／小人：100円
tokyu81,大人,,,1280,"大人：1,280円"
tokyu81,小人,,,640,小人：640円
tokyu82,大人,,,1680,"大人：1,680円"
tokyu82,小人,,,840,小人：840円
keikyu01,大人,,,1070,"大人：1,070円"
keikyu01,小人,,,530,小人：530円
keikyu03,大人,,,910,大人：910円
keikyu03,小人,,,450,小人：450円
keikyu02,大人,,,1260,"大人：1,260円"
keikyu02,小人,,,500,小人：500円
keikyu08,大人,,,4500,"大人：4,500円"
keikyu08,小人,,,3420,"小人：3,420円"
keikyu08,大人,,,4300,"大人：4,300円"
keikyu04,大人,,,3210,"大人：3,210円"
keikyu04,小人,,,2500,"小人：2,500円"
keikyu04,大人,,,3010,"大人：3,010円"
keikyu11,大人,,,2000,"大人：2,000円"
keikyu12,大人,,,3200,"大人：3,200円"
keikyu13,大人,,,1110,"大人：1,110円"
keikyu13,小人,,,600,小人：600円
odakyu11,大人,,,1750,"大人：1,750円"
odakyu11,小人,,,880,小人：880円
odakyu11,大人,,,790,大人：790円
odakyu11,小人,,,400,小人：400円
keio02,大人,,,1000,"大人：1,000円"
keio02,小人,,,500,小人：500円
keio01,大人,,よみうりランド,5620,"5,620円"
keio01,小人,,よみうりランド,3920,"3,920円"
keio01,,,よみうりランド,4530,"4,530円"
keio01,大人,,東京サマーランド,5470,"5,470円"
keio01,小人,,東京サマーランド,3090,"3,090円"
keio01,,,東京サマーランド,4470,"4,470円"
keio01,大人,,サンリオ ピューロランド,4460,"4,460円"
keio01,小人,,サンリオ ピューロランド,3030,"3,030円"
keio01,,,サンリオ ピューロランド,3360,"3,360円"
keio03,大人,,,580,大人：580円
keio03,小人,,,290,小人：290円
keio103,大人,,,1500,"大人：1,500円"
keio105,大人,,,1500,"大人：1,500円"
keio107,大人,,,1500,"大人：1,500円"
yurikamome03,大人,,,900,大人：900円
yurikamome03,小人,,,450,小人：450円
yurikamome11,大人,,,820,大人：820円
yurikamome11,小人,,,410,小人：410円
yurikamome11,小人,,,200,小人：200円
yurikamome12,大人,,,820,大人：820円
yurikamome12,小人,,,410,小人：410円
yurikamome13,大人,,,1620,"大人：1,620円"
yurikamome13,小人,,,810,小人：810円
yurikamome95,大人,,,820,大人：820円
yurikamome95,小人,,,410,小人：410円
rinkai01,大人,,,730,大人：730円
rinkai01,小人,,,370,小人：370円
rinkai91,大人,,,730,大人：730円
rinkai92,大人,,,730,大人：730円
monorail01,大人,,,700,大人：700円
monorail01,小人,,,350,小人：350円
tama01,大人,,,890,大人：890円
tama01,小人,,,450,小人：450円
tama02,大人,,ららぽーと立川立飛,1000,"1,000円"
tama02,,,ららぽーと立川立飛,500,お買物・お食事券引換券500円分
tama02,大人,,国営昭和記念公園,920,920円 (高校生以上)
tama02,大人,,多摩動物公園,1000,"1,000円 (高校生以上)"
tama92,小人,,,200,小人：200円
yokohama11,大人,,,740,大人：740円
yokohama11,小人,,,370,小人：370円
yokohama12,大人,,,830,大人：830円
yokohama12,小人,,,420,小人：420円
yokohama06,大人,,,700,大人：700円
yokohama06,小人,,,350,小人：350円
yokohama07,大人,,,750,大人：750円
yokohama07,小人,,,380,小人：380円
yokohama92,大人,,,500,大人：500円
yokohama92,小人,,,250,小人：250円
yokohama105,大人,,,750,大人：750円
yokohama105,小人,,,380,小人：380円
sotetsu01,大人,,,880,大人：880円
sotetsu01,小人,,,220,小人：220円
sotetsu81,大人,,,1200,"大人：1,200円"
sotetsu81,小人,,,320,小人：320円
mm01,大人,,,460,大人：460円
mm01,小人,,,230,小人：230円
mm01,大人,,,410,大人：410円
seaside01,大人,,,680,大人：680円
seaside01,小人,,,340,小人：340円
seaside94,大人,,,100,大人：-円／小人：100円
syonan01,大人,,,610,大人：610円
syonan01,小人,,,310,小人：310円
syonan02,大人,,,3130,"大人：3,130円"
syonan02,小人,,,1480,"小人：1,480円"
syonan02,中学生,,,1780,"中学生：1,780円"
enoden01,大人,,,800,大人：800円
enoden01,小人,,,400,小人：400円
enoden03,大人,,,3050,"大人：3,050円"
enoden03,小人,,,1480,"小人：1,480円"
enoden03,中学生,,,1880,"中学生：1,880円"
kamakura,大人,,,600,大人：600円
kamakura,小人,,,300,小人：300円
enoden82,大人,,,1200,"大人：1,200円"
